Field,Area(ha),Slope(%),Climate,Soil,Year,Treatment,Till,SpringPFert,STP5,STP0-15cm,Crop,SWE,SnowmeltRunoff,Runoff/snow,SnowmeltSediment(mg/L),SnowmeltSedimentkg,SnowmeltDRPmg,SnowmeltDRPkg,SnowmeltTDPmg,SnowmeltTDPkg,SnowmeltTPmg,SnowmeltTPkg,SnowmeltTDPTP,Rainfall,RainfallRunoff,Runoff/Rain,RainfallSediment(mg/L),RainfallSedimentkg,RainfallDRPmg,RainfallDRPkg,RainfallTDPmg,RainfallTDPkg,RainfallTPmg,RainfallTPkg,RainfallTDPTP,AnnualPrecipitation(mm),AnnualRunoff,Runoff/Precipitation,AnnualSediment(mg/L),AnnualSedimentkg,AnnualDRP(mg/L),AnnualDRP(kg/ha),AnnualTDPmg,AnnualTDP(kg/ha),AnnualTPmg,AnnualTPkg,AnnualDissolvedPTP,Snow/Precipitation(%),Rain/Precipitation(%),SnowmeltRunoffAnnualRunoff,RainRunoffAnnualRunoff,SnowmeltSediment/AnnualSediment(%),RainfallSediment/AnnualSediment(%),SnowmeltDRP/AnnualDRP(%),RainDRP/AnnualDRP(%),SnowmeltTDP/AnnualTDP(%),RainTDP/AnnualTDP(%),SnowmeltTPAnnualTP,RainTPAnnualTP
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1995,"Wheat-GreenManure R., Conven. Till",yes,0,na,14.17,wheat,16.86,2.1,0.12,30.29,0.63,0.18,0,na,na,na,na,na,419.7,11.66,0.03,23688.93,2762.13,0.05,0.01,na,na,na,na,na,436.56,13.76,0.03,20085.53,2762.76,0.07,0.01,na,na,na,na,na,3.86,96.14,15.23,84.77,0.02,99.98,40.24,59.76,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1996,"Wheat-GreenManure R., Conven. Till",yes,0,na,10.32,green manure,38.22,74.64,1.95,741.85,553.75,0.05,0.03,na,na,na,na,na,318.6,0,0,0,0,0,0,na,na,na,na,na,356.82,74.64,0.21,741.85,553.75,0.05,0.03,na,na,na,na,na,10.71,89.29,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1997,"Wheat-GreenManure R., Conven. Till",yes,0,na,12.76,wheat,37.52,na,na,na,101.13,na,na,na,na,na,na,na,284.4,na,na,na,na,na,na,na,na,na,na,na,321.92,na,na,na,101.13,na,na,na,na,na,na,na,11.66,88.34,na,na,100,na,na,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1998,"Wheat-GreenManure R., Conven. Till",yes,0,na,11.36,green manure,18.6,0,0,0,0,0,0,na,na,na,na,na,287.9,0,0,0,0,0,0,na,na,na,na,na,306.5,0,0,0,0,0,0,na,na,na,na,na,6.07,93.93,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,1999,"Wheat-GreenManure R., Conven. Till",yes,0,na,7.07,wheat,21.2,27.56,1.3,84.02,23.16,0.42,0.12,na,na,na,na,na,267.8,0,0,0,0,0,0,na,na,na,na,na,289,27.56,0.1,84.02,23.16,0.42,0.12,na,na,na,na,na,7.33,92.67,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2000,"Wheat-GreenManure R., Conven. Till",yes,0,na,11.75,green manure,52,0,0,0,0,0,0,na,na,na,na,na,338.6,0,0,0,0,0,0,na,na,na,na,na,390.6,0,0,0,0,0,0,na,na,na,na,na,13.31,86.69,0,0,0,0,0,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2001,"Wheat-GreenManure R., Conven. Till",yes,0,na,9.25,wheat,2.13,0.1,0.05,7.41,0.01,1.38,0,na,na,na,na,na,138.9,0,0,0,0,0,0,na,na,na,na,na,141.03,0.1,0,7.41,0.01,1.38,0,na,na,na,na,na,1.51,98.49,100,0,100,0,100,0,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2002,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.16,green manure,18.57,2.99,0.16,12.68,0.38,0.27,0.01,na,na,na,na,na,389.6,0.48,0,9.5,0.05,Misisng value,na,na,na,na,na,na,408.17,3.47,0.01,12.24,0.42,0.23,0.01,na,na,na,na,na,4.55,95.45,86.21,13.79,89.3,10.7,100,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2003,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.75,wheat,12.6,21.18,1.68,92.83,19.66,na,na,na,na,na,na,na,210.5,0,0,0,0,0,0,na,na,na,na,na,223.1,21.18,0.09,92.83,19.66,0,0,na,na,na,na,na,5.65,94.35,100,0,100,0,na,na,na,na,na,na
SK1-SC-F1,4.3,1.8,Semiarid,Orthic Brown Chernozem (Aridic Haploboroll) Swinton loam,2004,"Wheat-GreenManure R., Conven. Till",yes,0,na,5.86,green manure,84.76,3.15,0.04,46.25,1.46,0.2,0.01,na,na,na,na,na,321.1,0,0,0,0,0,0,na,na,na,na,na,405.86,3.15,0.01,46.25,1.46,0.2,0.01,na,na,na,na,na,20.88,79.12,100,0,100,0,100,0,na,na,na,na
